"Line"	"Crop"	"PlantingDate"	"Rep"	"VideoDate"	"MeanFreq"	"MedianFreq"	"SdFreq"	"Hz0.5"	"Hz0.7"	"Hz0.9"	"Hz1.1"	"Hz1.3"	"Hz1.5"	"Hz1.7"	"Hz1.9"	"'Hz2.1"	"Hz2.3"	"Hz2.5"	"Hz2.7"	"Hz2.9"	"Hz3.1"	"Hz3.3"	"Hz3.5"	"Hz3.7"	"Hz3.9"	"Hz4.1"	"Hz4.3"	"Hz4.5"	"Position"
"37"	"NDGenesis"	"2row"	"1"	"B"	"07_11_17"	"1.46428314285714"	"1.375"	"0.610862768868736"	"0.279344"	"0.243385"	"0.577378"	"1.892735"	"0.504912"	"1.749036"	"0.53796"	"0.834757"	"0.817591"	"1.38724"	"0.074332"	"0.10343"	"0"	"0"	"0"	"0"	"0"	"0.11358"	"0"	"0"	"0"	2
"38"	"NDGenesis"	"2row"	"1"	"C"	"07_11_17"	"1.73465368421053"	"1.5417"	"0.889322331482621"	"0.110049"	"0.164346"	"0.39348"	"1.841215"	"0.210918"	"0.552099"	"0.540781"	"0.57514"	"1.777525"	"0.11432"	"0"	"0.176276"	"0.096003"	"0.082414"	"0"	"0.10937"	"0"	"0.213527"	"0"	"0"	"0"	2
"39"	"Pinnacle"	"2row"	"1"	"A"	"07_11_17"	"1.4409282278481"	"1.4167"	"0.570115506163983"	"0.318913"	"0.586781"	"0.815439"	"2.148136"	"1.070318"	"1.05783"	"1.233081"	"1.00522"	"1.84281"	"0.26817"	"0.078089"	"0.097279"	"0"	"0"	"0"	"0.10475"	"0"	"0"	"0"	"0"	"0"	1
"40"	"Pinnacle"	"2row"	"1"	"B"	"07_11_17"	"1.67828131147541"	"1.5"	"0.689169760633463"	"0.172483"	"0"	"0.323902"	"2.224024"	"0.941106"	"0.761156"	"1.89758"	"0.778895"	"0.71518"	"0.53974"	"0.093925"	"0.084525"	"0"	"0.089089"	"0.087254"	"0"	"0"	"0.22653"	"0"	"0"	"0"	2
"41"	"REINS"	"oat"	"1"	"A"	"07_11_17"	"1.25703116883117"	"1.1667"	"0.577401026009457"	"0.876518"	"1.339062"	"0.380204"	"0.60232"	"0.548539"	"0.629108"	"0.460495"	"2.182003"	"0.623202"	"0.361716"	"0"	"0"	"0.10374"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"42"	"REINS"	"oat"	"1"	"B"	"07_11_17"	"1.25980470588235"	"1.125"	"0.604071502330304"	"0.555597"	"1.633451"	"0.671892"	"0.803313"	"0.605479"	"0.579458"	"0.10463"	"2.094035"	"1.125487"	"0.148785"	"0.091417"	"0.08843"	"0"	"0"	"0"	"0.08181"	"0"	"0"	"0"	"0"	"0"	1
"43"	"Shelly"	"wheat"	"1"	"A"	"07_11_17"	"2.30435086956522"	"2.2917"	"1.07715874067303"	"0.035094"	"0"	"0.042689"	"1.070237"	"0"	"0"	"0.461716"	"0.73812"	"0.35636"	"0.596474"	"0"	"0"	"0.088106"	"0"	"0.095647"	"0"	"0.099973"	"0.092162"	"0.12926"	"0.10796"	"0"	2
"44"	"Shelly"	"wheat"	"1"	"B"	"07_11_17"	"1.5839"	"1.4167"	"0.692167689033854"	"0.218841"	"0.081019"	"0.731181"	"1.717789"	"0.65256"	"0.585545"	"0.666444"	"0.553705"	"0.590089"	"1.091171"	"0"	"0"	"0.17196"	"0.074645"	"0.11413"	"0"	"0"	"0.1071"	"0"	"0"	"0"	1
"45"	"StellarND"	"6row"	"1"	"B"	"07_11_17"	"1.81431543478261"	"1.8125"	"0.873195242203933"	"0.165531"	"0.077966"	"0.411567"	"1.635938"	"0.047272"	"0.307453"	"0.141258"	"1.095261"	"1.76609"	"0.394472"	"0.181947"	"0.071098"	"0.082724"	"0"	"0"	"0.086995"	"0.0868"	"0"	"0"	"0"	"0.086647"	2
"46"	"Tradition"	"6row"	"1"	"A"	"07_11_17"	"1.32331101265823"	"1.2083"	"0.658373562611011"	"0.591881"	"2.148079"	"1.241162"	"1.501891"	"0.335656"	"0.406781"	"0.649701"	"2.215153"	"0.277341"	"0"	"0.19119"	"0"	"0"	"0"	"0"	"0"	"0.10889"	"0.13212"	"0"	"0"	"0"	1
"47"	"ACMetcalf"	"2row"	"1"	"A"	"07_12_17"	"1.34100252873563"	"1.25"	"0.589649098029909"	"0.468179"	"2.997465"	"1.867681"	"2.44704"	"1.714082"	"1.415631"	"0.23638"	"2.861448"	"1.120125"	"0.42157"	"0.667748"	"0"	"0"	"0"	"0"	"0"	"0.095585"	"0"	"0"	"0"	"0"	2
