"Line"	"Crop"	"PlantingDate"	"Rep"	"VideoDate"	"MeanFreq"	"MedianFreq"	"SdFreq"	"Hz0.5"	"Hz0.7"	"Hz0.9"	"Hz1.1"	"Hz1.3"	"Hz1.5"	"Hz1.7"	"Hz1.9"	"'Hz2.1"	"Hz2.3"	"Hz2.5"	"Hz2.7"	"Hz2.9"	"Hz3.1"	"Hz3.3"	"Hz3.5"	"Hz3.7"	"Hz3.9"	"Hz4.1"	"Hz4.3"	"Hz4.5"	"Position"
"69"	"Tradition"	"6row"	"1"	"A"	"07_12_17"	"1.15971989583333"	"1.0833"	"0.43219224359073"	"0.906054"	"2.293184"	"1.837008"	"2.19864"	"0.780611"	"2.005751"	"2.094192"	"2.230447"	"0"	"0"	"0.14458"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"70"	"ACMetcalf"	"2row"	"1"	"A"	"07_13_17"	"1.60078139534884"	"1.5"	"0.58723516261165"	"0.173483"	"0.8924"	"0.447786"	"0.474224"	"0.375781"	"0.4915"	"0.490881"	"1.786562"	"1.570189"	"0.272587"	"0.092052"	"0.275668"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"71"	"Celebration"	"6row"	"1"	"A"	"07_13_17"	"1.31400577319588"	"1.25"	"0.48769811067494"	"0.358405"	"2.04794"	"1.354925"	"1.227489"	"1.101102"	"1.238862"	"0.970632"	"3.398435"	"0.260914"	"0"	"0.218422"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"72"	"Conion"	"2row"	"1"	"A"	"07_13_17"	"1.83114140350877"	"1.4583"	"0.983762515363189"	"0.12928"	"0.91189"	"0.707093"	"1.08466"	"0.781881"	"0.569828"	"0.56046"	"0.888636"	"2.214012"	"0.25793"	"0"	"0"	"0.08467"	"0"	"0.193576"	"0.12126"	"0.25302"	"0.10352"	"0.17052"	"0"	"0"	2
"73"	"Conion"	"2row"	"1"	"B"	"07_13_17"	"1.76805616666667"	"1.60415"	"0.885020193229533"	"0.212247"	"1.916891"	"0.743256"	"0.948718"	"0.447464"	"0.788304"	"0.800823"	"0.66226"	"1.760768"	"0.344519"	"0.075006"	"0.16397"	"0"	"0.177179"	"0"	"0"	"0.23934"	"0"	"0.10846"	"0"	"0"	1
"74"	"GOPHER"	"oat"	"1"	"A"	"07_13_17"	"1.68012815384615"	"1.4167"	"0.730727581113279"	"0.13404"	"0.73972"	"0.411494"	"3.030284"	"1.513915"	"0.449609"	"0.587671"	"1.39928"	"0.901668"	"1.826517"	"0.23494"	"0"	"0"	"0"	"0"	"0"	"0.11019"	"0"	"0.16216"	"0.15653"	"0"	2
"75"	"GOPHER"	"oat"	"1"	"B"	"07_13_17"	"1.51492567164179"	"1.25"	"0.712106033463148"	"0.12978"	"0.71475"	"1.419012"	"1.970635"	"0.485658"	"0.794036"	"0.507603"	"0.938504"	"2.169869"	"0.070762"	"0.15674"	"0"	"0.079799"	"0"	"0"	"0"	"0"	"0"	"0.084563"	"0"	"0"	2
"76"	"GOPHER"	"oat"	"1"	"C"	"07_13_17"	"1.26103"	"1.1667"	"0.410765489608688"	"0.47143"	"2.451466"	"3.302396"	"4.968448"	"0.902763"	"1.355964"	"1.28126"	"2.067551"	"0.408217"	"0"	"0"	"0"	"0.11968"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"77"	"IL078721"	"oat"	"1"	"A"	"07_13_17"	"1.85810972972973"	"1.875"	"0.778797702482225"	"0.11942"	"0.907786"	"0.032353"	"0.250779"	"0.196207"	"0.249302"	"0.420282"	"1.469491"	"1.344291"	"0.348298"	"0.220632"	"0"	"0.086386"	"0.175387"	"0"	"0"	"0"	"0.11002"	"0"	"0"	"0"	1
"78"	"IL078721"	"oat"	"1"	"B"	"07_13_17"	"1.60256615384615"	"1.6667"	"0.581001642346194"	"0.09844"	"0"	"0.224523"	"1.443846"	"0.082673"	"0.13414"	"0.21884"	"0.62519"	"1.8296"	"0.13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"79"	"IL078721"	"oat"	"1"	"C"	"07_13_17"	"2.06122959183673"	"1.7083"	"1.22389578306828"	"0.162426"	"0.93671"	"0.547471"	"0.312158"	"0.210361"	"0.341321"	"0.495669"	"2.807566"	"0.0782"	"0"	"0.164296"	"0.156817"	"0.081558"	"0.085522"	"0"	"0.10004"	"0.188914"	"0.1149"	"0.203065"	"0.107"	"0.19691"	1
"80"	"Linkert"	"wheat"	"1"	"A"	"07_13_17"	"2.14414837837838"	"1.9583"	"0.957609537136073"	"0.10031"	"0.079905"	"0.097199"	"1.58337"	"0.093809"	"0.235123"	"0.476978"	"1.99252"	"0.652843"	"0.191208"	"0"	"0.23995"	"0.234137"	"0.082748"	"0.095575"	"0"	"0.17735"	"0"	"0.218845"	"0"	"0"	1
"81"	"Linkert"	"wheat"	"1"	"B"	"07_13_17"	"1.6833356"	"1.6667"	"0.837228385030433"	"0.1013"	"0.180324"	"0.165378"	"1.497181"	"0.23863"	"0.367891"	"0.102256"	"0.756843"	"1.90262"	"0.089038"	"0.14584"	"0.14418"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.14695"	"0"	2
"82"	"NDGenesis"	"2row"	"1"	"A"	"07_13_17"	"1.85381338983051"	"1.6667"	"0.895805628065887"	"0.13219"	"1.541597"	"0.879501"	"0.208946"	"0.68678"	"0.619533"	"0.919528"	"1.193514"	"1.301256"	"0.086584"	"0"	"0.074572"	"0.095881"	"0.091429"	"0"	"0.185698"	"0"	"0.10778"	"0"	"0"	"0.11638"	1
"83"	"NDGenesis"	"2row"	"1"	"B"	"07_13_17"	"1.93995588235294"	"1.7292"	"1.07309467372195"	"0.200576"	"0.709077"	"0.222171"	"0.387947"	"0.134601"	"0.469318"	"0.38713"	"2.005101"	"0.6542"	"0.241737"	"0"	"0"	"0"	"0.187639"	"0"	"0"	"0"	"0"	"0.37449"	"0.1106"	"0"	2
"84"	"NDGenesis"	"2row"	"1"	"C"	"07_13_17"	"1.49479109375"	"1.3125"	"0.591712293363787"	"0.25327"	"1.000788"	"0.754553"	"1.7835"	"1.212626"	"1.094704"	"0.182235"	"2.27881"	"0.877775"	"0.14255"	"0.269607"	"0"	"0.25845"	"0.11055"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"85"	"Pinnacle"	"2row"	"1"	"A"	"07_13_17"	"1.69491576271186"	"1.7083"	"0.743039809531749"	"0.158795"	"0.784224"	"0.422065"	"0.730696"	"0.172383"	"0.16807"	"1.191059"	"0.773373"	"1.8071"	"0.452101"	"0.163869"	"0.307486"	"0"	"0"	"0"	"0.095628"	"0"	"0"	"0"	"0.1187"	"0"	1
"86"	"Pinnacle"	"2row"	"1"	"B"	"07_13_17"	"1.54300774193548"	"1.4583"	"0.679082901211674"	"0.26849"	"0.80309"	"0.378087"	"0.191996"	"0.550533"	"0.356135"	"0.424729"	"2.933644"	"0"	"0"	"0"	"0.059248"	"0"	"0"	"0"	"0"	"0"	"0.10465"	"0"	"0"	"0"	2
"87"	"REINS"	"oat"	"1"	"A"	"07_13_17"	"1.69743738461538"	"1.4583"	"0.926738227562598"	"0.364534"	"1.043447"	"0.131438"	"0.578474"	"0.459142"	"0.29561"	"0.34068"	"2.615737"	"1.127026"	"0.213925"	"0.172008"	"0.082527"	"0.082157"	"0.187546"	"0.11098"	"0"	"0.10136"	"0.11162"	"0"	"0"	"0"	1
"88"	"REINS"	"oat"	"1"	"B"	"07_13_17"	"1.952378"	"1.6667"	"1.07168752597947"	"0.181529"	"0.750379"	"0.275245"	"0.035398"	"0.476157"	"0.305848"	"0.426505"	"2.036717"	"0.806902"	"0"	"0.062381"	"0.169082"	"0.078497"	"0"	"0.087433"	"0"	"0.091931"	"0.098917"	"0.079496"	"0"	"0.18388"	1
"89"	"Shelly"	"wheat"	"1"	"A"	"07_13_17"	"1.81753551724138"	"1.4583"	"0.944090763416565"	"0.11125"	"0.654436"	"0.325473"	"0.424399"	"0.222627"	"0.15589"	"0.26174"	"1.24555"	"1.13316"	"0.30061"	"0.237495"	"0"	"0.085233"	"0"	"0"	"0.088218"	"0"	"0"	"0"	"0"	"0"	2
"90"	"Shelly"	"wheat"	"1"	"B"	"07_13_17"	"1.48868518518519"	"1.3333"	"0.545737186469163"	"0.097719"	"0.141627"	"0.948568"	"3.919564"	"1.673565"	"0.585809"	"0.659955"	"2.060204"	"0.732337"	"0.214389"	"0.17693"	"0.075346"	"0"	"0"	"0"	"0.196028"	"0"	"0"	"0"	"0"	"0"	1
"91"	"StellarND"	"6row"	"1"	"B"	"07_13_17"	"1.51918174603175"	"1.25"	"0.754234813831402"	"0.192053"	"2.278142"	"2.117574"	"0.630016"	"0.378604"	"0.98165"	"0.10395"	"1.69248"	"0.830912"	"0.152724"	"0"	"0.196678"	"0.084526"	"0.214724"	"0.077121"	"0.11834"	"0"	"0"	"0"	"0"	"0"	2
"92"	"Tradition"	"6row"	"1"	"A"	"07_13_17"	"1.70447740740741"	"1.6667"	"0.77817597277025"	"0.28304"	"2.139508"	"1.12199"	"0.100875"	"0.363971"	"0.854784"	"0.883103"	"2.006308"	"0.589425"	"0.326178"	"0.173116"	"0.22389"	"0"	"0.10004"	"0.10178"	"0"	"0"	"0"	"0"	"0"	"0.15324"	1
"93"	"ACMetcalf"	"2row"	"1"	"A"	"07_17_17"	"0.805558055555556"	"0.66667"	"0.351867004906435"	"4.794121"	"1.1971"	"2.79404"	"0"	"0"	"1.72434"	"0"	"1.0983"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"94"	"Celebration"	"6row"	"1"	"A"	"07_17_17"	"0.760420833333333"	"0.66667"	"0.279986984494337"	"3.191806"	"2.32263"	"1.54921"	"0"	"0.2386"	"0.54768"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"95"	"Conion"	"2row"	"1"	"A"	"07_17_17"	"0.768592615384615"	"0.66667"	"0.241846508821174"	"6.965844"	"1.792244"	"2.707821"	"1.33654"	"0.32964"	"0.35804"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"96"	"Conion"	"2row"	"1"	"B"	"07_17_17"	"0.783661538461539"	"0.66667"	"0.280392897794396"	"6.713225"	"0.88465"	"3.34873"	"0.29051"	"0"	"0.38564"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"97"	"GOPHER"	"oat"	"1"	"A"	"07_17_17"	"0.850493333333333"	"0.70833"	"0.300832984013832"	"7.430421"	"3.655182"	"7.86593"	"3.97069"	"0"	"0"	"0.39355"	"0.78467"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"98"	"GOPHER"	"oat"	"1"	"B"	"07_17_17"	"0.862704098360656"	"0.70833"	"0.33362137483669"	"5.020814"	"3.544604"	"4.554241"	"1.52905"	"0.42286"	"0"	"1.0583"	"1.0039"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"99"	"GOPHER"	"oat"	"1"	"C"	"07_17_17"	"0.751941395348837"	"0.625"	"0.360152870072996"	"6.309974"	"2.83215"	"2.61014"	"0.88593"	"0"	"0.47948"	"0"	"2.23773"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"100"	"IL078721"	"oat"	"1"	"A"	"07_17_17"	"0.814105384615385"	"0.75"	"0.300279013325257"	"0.83074"	"1.62367"	"1.4142"	"0"	"0"	"0.32785"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"101"	"IL078721"	"oat"	"1"	"B"	"07_17_17"	"0.882112195121951"	"0.75"	"0.352430311462509"	"2.095601"	"2.039207"	"0.798207"	"0.26729"	"0.17232"	"0"	"0.72029"	"0.72514"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"102"	"IL078721"	"oat"	"1"	"C"	"07_17_17"	"0.867754347826087"	"0.66667"	"0.473179806779488"	"2.108942"	"0.298476"	"0.58378"	"0.188007"	"0"	"0.2757"	"0"	"1.51388"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"103"	"Linkert"	"wheat"	"1"	"A"	"07_17_17"	"0.923917391304348"	"0.83333"	"0.348984818766159"	"1.436807"	"1.611242"	"1.908131"	"0.57233"	"0.20501"	"0.26839"	"0.52975"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"104"	"Linkert"	"wheat"	"1"	"B"	"07_17_17"	"0.893941136363636"	"0.79167"	"0.379782024664759"	"2.758442"	"3.302647"	"1.162621"	"0.882966"	"0.065112"	"0.317475"	"0.149443"	"0.41194"	"0.81981"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"105"	"NDGenesis"	"2row"	"1"	"A"	"07_17_17"	"0.844912777777778"	"0.708335"	"0.372630913068391"	"1.520755"	"2.10037"	"1.46004"	"0"	"0.49138"	"0.9242"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"106"	"NDGenesis"	"2row"	"1"	"B"	"07_17_17"	"0.9308341"	"0.875"	"0.346297176915414"	"5.438001"	"3.708004"	"5.517692"	"2.95021"	"2.458046"	"1.45047"	"1.01298"	"2.27487"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"107"	"NDGenesis"	"2row"	"1"	"C"	"07_17_17"	"0.921399318181818"	"0.70833"	"0.401587436193946"	"2.554785"	"1.659858"	"0.78724"	"0.53797"	"1.19827"	"0.41471"	"0"	"0.56104"	"1.0191"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"108"	"Pinnacle"	"2row"	"1"	"A"	"07_17_17"	"0.8395825"	"0.6875"	"0.384093568464152"	"2.23374"	"3.88621"	"0.7476"	"0"	"0.71293"	"0.30708"	"0.67618"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"109"	"Pinnacle"	"2row"	"1"	"B"	"07_17_17"	"0.852974857142857"	"0.70833"	"0.343787719851937"	"4.618539"	"3.144737"	"1.373429"	"1.350428"	"0.82397"	"0.22142"	"1.02232"	"0.98988"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"110"	"REINS"	"oat"	"1"	"A"	"07_17_17"	"0.798078846153846"	"0.66667"	"0.316378036018013"	"2.288287"	"0.87506"	"1.00315"	"2.538431"	"0"	"0.45227"	"0.28682"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"111"	"REINS"	"oat"	"1"	"B"	"07_17_17"	"0.7229205"	"0.625"	"0.265012232457991"	"4.323449"	"0.702597"	"0.69362"	"0"	"0"	"0.30959"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"112"	"Shelly"	"wheat"	"1"	"A"	"07_17_17"	"0.9733308"	"0.91667"	"0.360296990272402"	"2.746783"	"1.631158"	"2.501303"	"0.897903"	"0.532774"	"0.991618"	"0.095461"	"1.50566"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"113"	"Shelly"	"wheat"	"1"	"B"	"07_17_17"	"0.979728108108108"	"0.8125"	"0.422684340084342"	"2.500106"	"2.606847"	"0.976373"	"0.830476"	"0.991118"	"0.468982"	"0.971114"	"0"	"0.95089"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"114"	"StellarND"	"6row"	"1"	"B"	"07_17_17"	"0.855470625"	"0.66667"	"0.431202942901992"	"1.673045"	"1.888276"	"0.22586"	"0.071839"	"0.20594"	"0.40523"	"0"	"0.56765"	"1.0806"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"115"	"Tradition"	"6row"	"1"	"A"	"07_17_17"	"0.758335"	"0.625"	"0.358331942120138"	"3.173729"	"2.409015"	"0.933859"	"0"	"0"	"0.39239"	"0"	"1.88356"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"116"	"ACMetcalf"	"2row"	"2"	"A"	"07_10_17"	"1.17799223300971"	"1.125"	"0.481834356528506"	"3.42243"	"3.896643"	"3.158552"	"1.682691"	"0.939287"	"1.230218"	"1.307915"	"2.364988"	"0.051755"	"0.229082"	"0.10424"	"0.11325"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"117"	"ACMetcalf"	"2row"	"2"	"B"	"07_10_17"	"1.56645189873418"	"1.4167"	"0.804645796449459"	"0.49633"	"2.446508"	"0.594577"	"2.027612"	"1.276025"	"1.614109"	"0.601243"	"1.34223"	"0.434674"	"0.051062"	"0.16325"	"0.249745"	"0.166189"	"0"	"0"	"0.1062"	"0.1091"	"0"	"0.11555"	"0.13034"	"0"	2
"118"	"ACMetcalf"	"2row"	"2"	"C"	"07_10_17"	"1.3857535483871"	"1.2917"	"0.499537102553443"	"0.321763"	"2.593973"	"2.008681"	"2.078712"	"0.95638"	"2.414817"	"1.052949"	"1.518963"	"0.863248"	"0.24739"	"0.23692"	"0.084457"	"0.088749"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"119"	"Celebration"	"6row"	"2"	"A"	"07_10_17"	"1.10268017857143"	"1.0417"	"0.399844652791223"	"0.912096"	"4.268407"	"1.248763"	"2.786403"	"0.961106"	"0.899093"	"0.764906"	"1.910108"	"0.79378"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"120"	"Celebration"	"6row"	"2"	"B"	"07_10_17"	"1.10268017857143"	"1.0417"	"0.399844652791223"	"0.912096"	"4.268407"	"1.248763"	"2.786403"	"0.961106"	"0.899093"	"0.764906"	"1.910108"	"0.79378"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"121"	"Conion"	"2row"	"2"	"A"	"07_10_17"	"1.41483703296703"	"1.2917"	"0.619386254148222"	"0.562446"	"2.237553"	"1.576898"	"1.137135"	"0.760107"	"1.546233"	"1.151648"	"2.248074"	"0.127419"	"0"	"0.097056"	"0.193698"	"0.087753"	"0.10269"	"0"	"0"	"0"	"0.11808"	"0"	"0"	"0"	1
"122"	"GOPHER"	"oat"	"2"	"A"	"07_10_17"	"1.10751714285714"	"0.91667"	"0.568165798629505"	"3.738944"	"3.741817"	"2.277613"	"0.708141"	"1.310207"	"0.886914"	"1.60076"	"2.131497"	"0"	"0"	"0"	"0.091717"	"0.194478"	"0"	"0.10382"	"0"	"0"	"0"	"0"	"0"	"0"	1
"123"	"GOPHER"	"oat"	"2"	"B"	"07_10_17"	"1.60103095890411"	"1.2917"	"0.784133010466486"	"0.16548"	"2.103581"	"0.450047"	"1.903024"	"0.598917"	"0.65048"	"0.537695"	"2.043762"	"0.064104"	"0.316283"	"0.14581"	"0.09121"	"0.080162"	"0"	"0"	"0"	"0.273265"	"0"	"0"	"0"	"0.11864"	2
"124"	"IL078721"	"oat"	"2"	"A"	"07_10_17"	"1.854759"	"1.52085"	"1.04437668973613"	"0.372304"	"2.159297"	"0.760198"	"1.427296"	"0.655654"	"0.62232"	"0.546561"	"2.581014"	"0.273887"	"0.139923"	"0.308232"	"0"	"0"	"0"	"0"	"0.31945"	"0.186678"	"0.11079"	"0.23622"	"0"	"0"	2
"125"	"Linkert"	"wheat"	"2"	"A"	"07_10_17"	"1.9906265"	"1.8958"	"0.979194520046962"	"0.13704"	"0.811115"	"0.26933"	"0.406967"	"0.368812"	"0.306462"	"0.332186"	"1.23224"	"2.065761"	"0"	"0.14074"	"0"	"0.163472"	"0"	"0"	"0.097483"	"0.196387"	"0"	"0.14145"	"0"	"0"	2
"126"	"Linkert"	"wheat"	"2"	"B"	"07_10_17"	"1.41292483146067"	"1.2917"	"0.617046175119659"	"0.345628"	"1.137332"	"0.998859"	"2.69965"	"0.543004"	"0.588451"	"0.486024"	"1.458183"	"0.988758"	"0.26473"	"0.178424"	"0"	"0"	"0"	"0"	"0.10966"	"0.10724"	"0"	"0"	"0"	"0"	1
"127"	"MN113946"	"wheat"	"2"	"A"	"07_10_17"	"1.65277869565217"	"1.4583"	"0.79833407737413"	"0.231362"	"2.885009"	"1.307956"	"0.309997"	"0.672711"	"0.723236"	"0.342189"	"2.883266"	"0.21564"	"0.193103"	"0.283879"	"0.289883"	"0.086487"	"0.08791"	"0.091804"	"0.090324"	"0"	"0.11903"	"0"	"0"	"0"	2
"128"	"MN113946"	"wheat"	"2"	"B"	"07_10_17"	"1.48228022988506"	"1.375"	"0.706322502453404"	"0.457959"	"1.011968"	"0.69106"	"1.198085"	"1.958687"	"0.886496"	"1.281903"	"2.292859"	"0.756802"	"0.11078"	"0.080447"	"0.12519"	"0.148975"	"0"	"0"	"0"	"0.203911"	"0"	"0.11036"	"0"	"0"	1
"129"	"ND021052"	"oat"	"2"	"A"	"07_10_17"	"1.44027855555556"	"1.25"	"0.655364286449964"	"0.45446"	"2.006711"	"2.470736"	"1.788184"	"0.39893"	"0.969514"	"1.01918"	"2.543609"	"0.128647"	"0.288851"	"0.171642"	"0"	"0"	"0"	"0.169444"	"0"	"0.13146"	"0"	"0"	"0"	"0"	1
"130"	"ND021052"	"oat"	"2"	"B"	"07_10_17"	"1.55321674698795"	"1.2917"	"0.806176262246675"	"0.18991"	"2.956204"	"1.464381"	"0.963467"	"0.448374"	"0.58648"	"0.264819"	"2.840058"	"0.195198"	"0.135789"	"0.282367"	"0"	"0.11583"	"0.099952"	"0"	"0.087121"	"0.084703"	"0"	"0.2214"	"0"	"0"	2
"131"	"ND021052"	"oat"	"2"	"C"	"07_10_17"	"1.42911666666667"	"1.2917"	"0.650113296132703"	"0.384458"	"1.269869"	"2.332847"	"1.124903"	"0.793112"	"0.942147"	"0.83554"	"0.837293"	"1.349977"	"0.297622"	"0.17876"	"0"	"0"	"0"	"0"	"0"	"0"	"0.099799"	"0.11273"	"0"	"0"	1
"132"	"NDGenesis"	"2row"	"2"	"A"	"07_10_17"	"1.67342918918919"	"1.375"	"0.815622310590864"	"0.228161"	"1.788067"	"0.325312"	"1.588236"	"0.720294"	"0.798009"	"0.10407"	"1.182426"	"0.946695"	"0.322679"	"0.519601"	"0.186273"	"0"	"0"	"0"	"0.098956"	"0.41626"	"0"	"0"	"0"	"0"	1
"133"	"Rollag"	"wheat"	"2"	"A"	"07_10_17"	"1.3820920212766"	"1.2917"	"0.602655076666043"	"0.520312"	"1.540799"	"0.818837"	"1.184646"	"0.94316"	"0.739244"	"0.755637"	"2.853893"	"0.138057"	"0.163361"	"0.285406"	"0"	"0"	"0"	"0.10373"	"0.077973"	"0"	"0"	"0"	"0"	"0"	2
"134"	"StellarND"	"6row"	"2"	"A"	"07_10_17"	"1.42685066666667"	"1.27085"	"0.739004247628546"	"0.855631"	"1.934881"	"0.419742"	"0.85859"	"0.67573"	"0.819348"	"2.841535"	"2.802289"	"0.254549"	"0.078968"	"0.155752"	"0.13574"	"0.089885"	"0.098048"	"0"	"0"	"0"	"0.11896"	"0"	"0.10947"	"0"	1
"135"	"Tradition"	"6row"	"2"	"A"	"07_10_17"	"1.39157989247312"	"1.2917"	"0.687351879220874"	"1.928133"	"2.252447"	"1.697356"	"0.882752"	"1.646988"	"1.124901"	"0.331884"	"3.646789"	"0.181549"	"0.308922"	"0.275508"	"0.13065"	"0"	"0.093307"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"136"	"Tradition"	"6row"	"2"	"B"	"07_10_17"	"1.63962070175439"	"1.375"	"0.928840169421867"	"0.504007"	"2.224522"	"1.009494"	"0.585119"	"0.564602"	"0.473698"	"0.709297"	"1.941888"	"0.240318"	"0.180764"	"0.087686"	"0"	"0.10124"	"0"	"0"	"0"	"0.093003"	"0.10267"	"0"	"0"	"0.226796"	2
"137"	"ACMetcalf"	"2row"	"2"	"A"	"07_11_17"	"1.14315099009901"	"1.0833"	"0.451327748155384"	"1.433529"	"2.976838"	"2.281533"	"3.747033"	"1.506774"	"0.652019"	"0.451442"	"0.636831"	"1.05303"	"0.44016"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"138"	"ACMetcalf"	"2row"	"2"	"B"	"07_11_17"	"1.41999853333333"	"1.25"	"0.712122269052339"	"0.289933"	"1.648502"	"1.527871"	"2.160919"	"1.367488"	"0.679903"	"0.648298"	"1.216852"	"0.68987"	"0.992202"	"0.15642"	"0.10155"	"0"	"0"	"0.12255"	"0"	"0.11967"	"0"	"0.08308"	"0"	"0"	2
"139"	"ACMetcalf"	"2row"	"2"	"C"	"07_11_17"	"1.31108102272727"	"1.25"	"0.544473786599818"	"0.388224"	"1.033263"	"1.454673"	"1.834529"	"0.877089"	"1.018557"	"1.078877"	"2.13827"	"0.63257"	"0.178137"	"0"	"0.082531"	"0"	"0"	"0"	"0"	"0.099868"	"0"	"0"	"0"	"0"	1
"140"	"Celebration"	"6row"	"2"	"A"	"07_11_17"	"1.76436879310345"	"1.4375"	"0.987446156258175"	"0.265923"	"0.039042"	"0.496945"	"2.164833"	"0.593788"	"0.208394"	"0.657805"	"1.63382"	"1.164492"	"0"	"0.218617"	"0"	"0"	"0.088297"	"0"	"0"	"0"	"0.322183"	"0.11343"	"0.085322"	"0"	2
"141"	"Celebration"	"6row"	"2"	"B"	"07_11_17"	"1.49091576923077"	"1.27085"	"0.756391712131069"	"0.188512"	"0.964135"	"1.031661"	"0.688887"	"0.35718"	"0.624495"	"0.812679"	"1.580826"	"0.674179"	"0.362481"	"0.230918"	"0.08028"	"0"	"0.085943"	"0.1045"	"0"	"0"	"0.09427"	"0.095262"	"0"	"0"	1
"142"	"Conion"	"2row"	"2"	"A"	"07_11_17"	"1.1390306122449"	"1.125"	"0.398888000392783"	"1.127431"	"1.649098"	"3.302989"	"4.484862"	"2.89379"	"1.647378"	"0.229785"	"2.11061"	"0.18598"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"143"	"GOPHER"	"oat"	"2"	"A"	"07_11_17"	"1.24506978494624"	"1.0833"	"0.496888121691608"	"0.479086"	"0.787779"	"2.815881"	"2.794428"	"1.144325"	"0.32244"	"1.438421"	"0.649967"	"2.044373"	"0"	"0.16445"	"0.097841"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"144"	"GOPHER"	"oat"	"2"	"B"	"07_11_17"	"1.38839035714286"	"1.22915"	"0.634125955443665"	"0.309669"	"0.483869"	"1.998992"	"2.732258"	"0.783429"	"1.281486"	"2.399831"	"0.416186"	"0.480223"	"0.708732"	"0.345895"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.12127"	2
